filename,algorithm,score
pa_100_21,VPSC,0.433
pa_100_22,GTREE,0.48
pa_100_22,PFS,0.327
pa_100_22,PFS',0.466
pa_100_22,PRISM,0.432
pa_100_22,RWordle-L,0.552
pa_100_22,SCALE,0.498
pa_100_22,VPSC,0.428
pa_100_23,GTREE,0.434
pa_100_23,PFS,0.333
pa_100_23,PFS',0.429
pa_100_23,PRISM,0.43
pa_100_23,RWordle-L,0.527
pa_100_23,SCALE,0.497
pa_100_23,VPSC,0.421
pa_100_24,GTREE,0.417
pa_100_24,PFS,0.302
pa_100_24,PFS',0.44
pa_100_24,PRISM,0.432
pa_100_24,RWordle-L,0.519
pa_100_24,SCALE,0.491
pa_100_24,VPSC,0.382
pa_100_25,GTREE,0.427
pa_100_25,PFS,0.294
pa_100_25,PFS',0.431
pa_100_25,PRISM,0.421
pa_100_25,RWordle-L,0.566
pa_100_25,SCALE,0.498
pa_100_25,VPSC,0.389
pa_100_26,GTREE,0.42
pa_100_26,PFS,0.313
pa_100_26,PFS',0.428
pa_100_26,PRISM,0.432
pa_100_26,RWordle-L,0.545
pa_100_26,SCALE,0.49
pa_100_26,VPSC,0.426
pa_100_27,GTREE,0.48
pa_100_27,PFS,0.327
pa_100_27,PFS',0.466
pa_100_27,PRISM,0.432
pa_100_27,RWordle-L,0.552
pa_100_27,SCALE,0.498
pa_100_27,VPSC,0.428
pa_100_28,GTREE,0.444
pa_100_28,PFS,0.328
pa_100_28,PFS',0.461
pa_100_28,PRISM,0.437
pa_100_28,RWordle-L,0.556
pa_100_28,SCALE,0.497
pa_100_28,VPSC,0.423
pa_100_29,GTREE,0.439
pa_100_29,PFS,0.304
pa_100_29,PFS',0.442
pa_100_29,PRISM,0.424
pa_100_29,RWordle-L,0.528
pa_100_29,SCALE,0.497
pa_100_29,VPSC,0.399
pa_100_2,GTREE,0.45
pa_100_2,PFS,0.309
pa_100_2,PFS',0.479
pa_100_2,PRISM,0.45
pa_100_2,RWordle-L,0.528
pa_100_2,SCALE,0.489
pa_100_2,VPSC,0.38
pa_100_30,GTREE,0.434
pa_100_30,PFS,0.322
pa_100_30,PFS',0.441
pa_100_30,PRISM,0.44
pa_100_30,RWordle-L,0.517
pa_100_30,SCALE,0.498
pa_100_30,VPSC,0.338
pa_100_3,GTREE,0.47
pa_100_3,PFS,0.285
pa_100_3,PFS',0.447
pa_100_3,PRISM,0.442
pa_100_3,RWordle-L,0.524
pa_100_3,SCALE,0.488
pa_100_3,VPSC,0.366
pa_100_4,GTREE,0.449
pa_100_4,PFS,0.302
pa_100_4,PFS',0.424
pa_100_4,PRISM,0.396
pa_100_4,RWordle-L,0.547
pa_100_4,SCALE,0.498
pa_100_4,VPSC,0.406
pa_100_5,GTREE,0.455
pa_100_5,PFS,0.3
pa_100_5,PFS',0.439
pa_100_5,PRISM,0.407
pa_100_5,RWordle-L,0.526
pa_100_5,SCALE,0.497
pa_100_5,VPSC,0.355
pa_100_6,GTREE,0.468
pa_100_6,PFS,0.315
pa_100_6,PFS',0.457
pa_100_6,PRISM,0.462
pa_100_6,RWordle-L,0.534
pa_100_6,SCALE,0.498
pa_100_6,VPSC,0.403
pa_100_7,GTREE,0.451
pa_100_7,PFS,0.315
pa_100_7,PFS',0.473
pa_100_7,PRISM,0.45
pa_100_7,RWordle-L,0.553
pa_100_7,SCALE,0.498
pa_100_7,VPSC,0.39
pa_100_8,GTREE,0.466
pa_100_8,PFS,0.308
pa_100_8,PFS',0.433
pa_100_8,PRISM,0.433
pa_100_8,RWordle-L,0.527
pa_100_8,SCALE,0.497
pa_100_8,VPSC,0.376
pa_100_9,GTREE,0.453
pa_100_9,PFS,0.298
pa_100_9,PFS',0.44
pa_100_9,PRISM,0.435
pa_100_9,RWordle-L,0.532
pa_100_9,SCALE,0.489
pa_100_9,VPSC,0.369
pa_10_10,GTREE,0.615
pa_10_10,PFS,0.612
pa_10_10,PFS',0.692
pa_10_10,PRISM,0.658
pa_10_10,RWordle-L,0.732
pa_10_10,SCALE,0.551
pa_10_10,VPSC,0.741
pa_10_11,GTREE,0.603
pa_10_11,PFS,0.652
pa_10_11,PFS',0.714
pa_10_11,PRISM,0.621
pa_10_11,RWordle-L,0.726
pa_10_11,SCALE,0.651
pa_10_11,VPSC,0.753
pa_10_12,GTREE,0.68
pa_10_12,PFS,0.76
pa_10_12,PFS',0.776
pa_10_12,PRISM,0.669
pa_10_12,RWordle-L,0.739
pa_10_12,SCALE,0.734
pa_10_12,VPSC,0.78
pa_10_13,GTREE,0.615
pa_10_13,PFS,0.612
pa_10_13,PFS',0.692
pa_10_13,PRISM,0.658
pa_10_13,RWordle-L,0.732
pa_10_13,SCALE,0.551
pa_10_13,VPSC,0.741
pa_10_14,GTREE,0.615
pa_10_14,PFS,0.612
pa_10_14,PFS',0.692
pa_10_14,PRISM,0.658
pa_10_14,RWordle-L,0.732
pa_10_14,SCALE,0.551
pa_10_14,VPSC,0.741
pa_10_15,GTREE,0.68
pa_10_15,PFS,0.76
pa_10_15,PFS',0.776
pa_10_15,PRISM,0.669
pa_10_15,RWordle-L,0.739
pa_10_15,SCALE,0.734
pa_10_15,VPSC,0.78
pa_10_16,GTREE,0.615
pa_10_16,PFS,0.612
pa_10_16,PFS',0.692
pa_10_16,PRISM,0.658
pa_10_16,RWordle-L,0.732
pa_10_16,SCALE,0.551
pa_10_16,VPSC,0.741
pa_10_17,GTREE,0.603
pa_10_17,PFS,0.652
pa_10_17,PFS',0.714
pa_10_17,PRISM,0.621
pa_10_17,RWordle-L,0.726
pa_10_17,SCALE,0.651
pa_10_17,VPSC,0.753
pa_10_18,GTREE,0.615
pa_10_18,PFS,0.612
pa_10_18,PFS',0.692
pa_10_18,PRISM,0.658
pa_10_18,RWordle-L,0.732
pa_10_18,SCALE,0.551
pa_10_18,VPSC,0.741
pa_10_19,GTREE,0.603
pa_10_19,PFS,0.652
pa_10_19,PFS',0.714
pa_10_19,PRISM,0.621
