filename,algorithm,score
pa_20_14,VPSC,0.71
pa_20_14,PRISM,0.575
pa_20_14,GTREE,0.577
pa_20_14,RWordle-L,0.728
pa_20_15,initial,0.0
pa_20_15,SCALE,0.517
pa_20_15,PFS,0.567
pa_20_15,PFS',0.604
pa_20_15,FTA,0.669
pa_20_15,VPSC,0.72
pa_20_15,PRISM,0.603
pa_20_15,GTREE,0.553
pa_20_15,RWordle-L,0.716
pa_20_16,initial,0.0
pa_20_16,SCALE,0.602
pa_20_16,PFS,0.556
pa_20_16,PFS',0.66
pa_20_16,FTA,0.642
pa_20_16,VPSC,0.71
pa_20_16,PRISM,0.575
pa_20_16,GTREE,0.577
pa_20_16,RWordle-L,0.728
pa_20_17,initial,0.0
pa_20_17,SCALE,0.562
pa_20_17,PFS,0.497
pa_20_17,PFS',0.619
pa_20_17,FTA,0.501
pa_20_17,VPSC,0.703
pa_20_17,PRISM,0.573
pa_20_17,GTREE,0.561
pa_20_17,RWordle-L,0.721
pa_20_18,initial,0.0
pa_20_18,SCALE,0.602
pa_20_18,PFS,0.556
pa_20_18,PFS',0.66
pa_20_18,FTA,0.642
pa_20_18,VPSC,0.71
pa_20_18,PRISM,0.575
pa_20_18,GTREE,0.577
pa_20_18,RWordle-L,0.728
pa_20_19,initial,0.0
pa_20_19,SCALE,0.562
pa_20_19,PFS,0.497
pa_20_19,PFS',0.619
pa_20_19,FTA,0.501
pa_20_19,VPSC,0.703
pa_20_19,PRISM,0.573
pa_20_19,GTREE,0.561
pa_20_19,RWordle-L,0.721
pa_20_1,initial,0.0
pa_20_1,SCALE,0.546
pa_20_1,PFS,0.6
pa_20_1,PFS',0.661
pa_20_1,FTA,0.639
pa_20_1,VPSC,0.732
pa_20_1,PRISM,0.611
pa_20_1,GTREE,0.607
pa_20_1,RWordle-L,0.714
pa_20_20,initial,0.0
pa_20_20,SCALE,0.562
pa_20_20,PFS,0.497
pa_20_20,PFS',0.619
pa_20_20,FTA,0.501
pa_20_20,VPSC,0.703
pa_20_20,PRISM,0.573
pa_20_20,GTREE,0.561
pa_20_20,RWordle-L,0.721
pa_20_21,initial,0.0
pa_20_21,SCALE,0.517
pa_20_21,PFS,0.567
pa_20_21,PFS',0.604
pa_20_21,FTA,0.669
pa_20_21,VPSC,0.72
pa_20_21,PRISM,0.603
pa_20_21,GTREE,0.553
pa_20_21,RWordle-L,0.716
pa_20_22,initial,0.0
pa_20_22,SCALE,0.517
pa_20_22,PFS,0.567
pa_20_22,PFS',0.604
pa_20_22,FTA,0.669
pa_20_22,VPSC,0.72
pa_20_22,PRISM,0.603
pa_20_22,GTREE,0.553
pa_20_22,RWordle-L,0.716
pa_20_23,initial,0.0
pa_20_23,SCALE,0.602
pa_20_23,PFS,0.556
pa_20_23,PFS',0.66
pa_20_23,FTA,0.642
pa_20_23,VPSC,0.71
pa_20_23,PRISM,0.575
pa_20_23,GTREE,0.577
pa_20_23,RWordle-L,0.728
pa_20_24,initial,0.0
pa_20_24,SCALE,0.562
pa_20_24,PFS,0.497
pa_20_24,PFS',0.619
pa_20_24,FTA,0.501
pa_20_24,VPSC,0.703
pa_20_24,PRISM,0.573
pa_20_24,GTREE,0.561
pa_20_24,RWordle-L,0.721
pa_20_25,initial,0.0
pa_20_25,SCALE,0.517
pa_20_25,PFS,0.567
pa_20_25,PFS',0.604
pa_20_25,FTA,0.669
pa_20_25,VPSC,0.72
pa_20_25,PRISM,0.603
pa_20_25,GTREE,0.553
pa_20_25,RWordle-L,0.716
pa_20_26,initial,0.0
pa_20_26,SCALE,0.517
pa_20_26,PFS,0.567
pa_20_26,PFS',0.604
pa_20_26,FTA,0.669
pa_20_26,VPSC,0.72
pa_20_26,PRISM,0.603
pa_20_26,GTREE,0.553
pa_20_26,RWordle-L,0.716
pa_20_27,initial,0.0
pa_20_27,SCALE,0.599
pa_20_27,PFS,0.579
pa_20_27,PFS',0.636
pa_20_27,FTA,0.71
pa_20_27,VPSC,0.747
pa_20_27,PRISM,0.606
pa_20_27,GTREE,0.607
pa_20_27,RWordle-L,0.751
pa_20_28,initial,0.0
pa_20_28,SCALE,0.599
pa_20_28,PFS,0.579
pa_20_28,PFS',0.636
pa_20_28,FTA,0.71
pa_20_28,VPSC,0.747
pa_20_28,PRISM,0.606
pa_20_28,GTREE,0.607
pa_20_28,RWordle-L,0.751
pa_20_29,initial,0.0
pa_20_29,SCALE,0.586
pa_20_29,PFS,0.531
pa_20_29,PFS',0.591
pa_20_29,FTA,0.603
pa_20_29,VPSC,0.716
pa_20_29,PRISM,0.544
pa_20_29,GTREE,0.566
pa_20_29,RWordle-L,0.71
pa_20_2,initial,0.0
pa_20_2,SCALE,0.546
pa_20_2,PFS,0.573
pa_20_2,PFS',0.646
pa_20_2,FTA,0.666
pa_20_2,VPSC,0.712
pa_20_2,PRISM,0.611
pa_20_2,GTREE,0.56
pa_20_2,RWordle-L,0.72
pa_20_30,initial,0.0
pa_20_30,SCALE,0.586
pa_20_30,PFS,0.531
pa_20_30,PFS',0.591
pa_20_30,FTA,0.603
pa_20_30,VPSC,0.716
pa_20_30,PRISM,0.544
pa_20_30,GTREE,0.566
pa_20_30,RWordle-L,0.71
pa_20_3,initial,0.0
pa_20_3,SCALE,0.546
pa_20_3,PFS,0.573
pa_20_3,PFS',0.646
pa_20_3,FTA,0.666
pa_20_3,VPSC,0.712
pa_20_3,PRISM,0.611
pa_20_3,GTREE,0.56
pa_20_3,RWordle-L,0.72
pa_20_4,initial,0.0
pa_20_4,SCALE,0.546
pa_20_4,PFS,0.573
pa_20_4,PFS',0.646
pa_20_4,FTA,0.666
pa_20_4,VPSC,0.712
pa_20_4,PRISM,0.611
pa_20_4,GTREE,0.56
pa_20_4,RWordle-L,0.72
pa_20_5,initial,0.0
pa_20_5,SCALE,0.583
pa_20_5,PFS,0.539
pa_20_5,PFS',0.625
pa_20_5,FTA,0.658
pa_20_5,VPSC,0.707
pa_20_5,PRISM,0.586
pa_20_5,GTREE,0.586
pa_20_5,RWordle-L,0.716
pa_20_6,initial,0.0
pa_20_6,SCALE,0.546
pa_20_6,PFS,0.573
pa_20_6,PFS',0.646
pa_20_6,FTA,0.666
