filename,algorithm,GQS
pa_200_26,rwordle,0.856
pa_200_26,scale,0.906
pa_200_26,vpsc,0.757
pa_200_27,gtree,0.861
pa_200_27,pfs,0.776
pa_200_27,pfsp,0.85
pa_200_27,prism,0.828
pa_200_27,rwordle,0.858
pa_200_27,scale,0.904
pa_200_27,vpsc,0.751
pa_200_28,gtree,0.855
pa_200_28,pfs,0.776
pa_200_28,pfsp,0.849
pa_200_28,prism,0.825
pa_200_28,rwordle,0.86
pa_200_28,scale,0.905
pa_200_28,vpsc,0.755
pa_200_29,gtree,0.844
pa_200_29,pfs,0.778
pa_200_29,pfsp,0.858
pa_200_29,prism,0.842
pa_200_29,rwordle,0.848
pa_200_29,scale,0.906
pa_200_29,vpsc,0.742
pa_200_2,gtree,0.855
pa_200_2,pfs,0.779
pa_200_2,pfsp,0.863
pa_200_2,prism,0.848
pa_200_2,rwordle,0.846
pa_200_2,scale,0.904
pa_200_2,vpsc,0.75
pa_200_30,gtree,0.862
pa_200_30,pfs,0.775
pa_200_30,pfsp,0.849
pa_200_30,prism,0.832
pa_200_30,rwordle,0.849
pa_200_30,scale,0.903
pa_200_30,vpsc,0.738
pa_200_3,gtree,0.863
pa_200_3,pfs,0.781
pa_200_3,pfsp,0.857
pa_200_3,prism,0.822
pa_200_3,rwordle,0.848
pa_200_3,scale,0.906
pa_200_3,vpsc,0.734
pa_200_4,gtree,0.867
pa_200_4,pfs,0.774
pa_200_4,pfsp,0.858
pa_200_4,prism,0.831
pa_200_4,rwordle,0.848
pa_200_4,scale,0.904
pa_200_4,vpsc,0.741
pa_200_5,gtree,0.867
pa_200_5,pfs,0.778
pa_200_5,pfsp,0.849
pa_200_5,prism,0.823
pa_200_5,rwordle,0.842
pa_200_5,scale,0.905
pa_200_5,vpsc,0.732
pa_200_6,gtree,0.865
pa_200_6,pfs,0.771
pa_200_6,pfsp,0.856
pa_200_6,prism,0.83
pa_200_6,rwordle,0.851
pa_200_6,scale,0.906
pa_200_6,vpsc,0.737
pa_200_7,gtree,0.846
pa_200_7,pfs,0.779
pa_200_7,pfsp,0.859
pa_200_7,prism,0.831
pa_200_7,rwordle,0.847
pa_200_7,scale,0.904
pa_200_7,vpsc,0.75
pa_200_8,gtree,0.865
pa_200_8,pfs,0.77
pa_200_8,pfsp,0.848
pa_200_8,prism,0.813
pa_200_8,rwordle,0.854
pa_200_8,scale,0.903
pa_200_8,vpsc,0.746
pa_200_9,gtree,0.855
pa_200_9,pfs,0.776
pa_200_9,pfsp,0.847
pa_200_9,prism,0.832
pa_200_9,rwordle,0.857
pa_200_9,scale,0.905
pa_200_9,vpsc,0.727
pa_20_10,gtree,0.881
pa_20_10,pfs,0.875
pa_20_10,pfsp,0.893
pa_20_10,prism,0.867
pa_20_10,rwordle,0.906
pa_20_10,scale,0.923
pa_20_10,vpsc,0.905
pa_20_11,gtree,0.878
pa_20_11,pfs,0.837
pa_20_11,pfsp,0.889
pa_20_11,prism,0.869
pa_20_11,rwordle,0.902
pa_20_11,scale,0.916
pa_20_11,vpsc,0.896
pa_20_12,gtree,0.857
pa_20_12,pfs,0.857
pa_20_12,pfsp,0.856
pa_20_12,prism,0.874
pa_20_12,rwordle,0.904
pa_20_12,scale,0.908
pa_20_12,vpsc,0.903
pa_20_13,gtree,0.881
pa_20_13,pfs,0.875
pa_20_13,pfsp,0.893
pa_20_13,prism,0.867
pa_20_13,rwordle,0.906
pa_20_13,scale,0.923
pa_20_13,vpsc,0.905
pa_20_14,gtree,0.881
pa_20_14,pfs,0.875
pa_20_14,pfsp,0.893
pa_20_14,prism,0.867
pa_20_14,rwordle,0.906
pa_20_14,scale,0.923
pa_20_14,vpsc,0.905
pa_20_15,gtree,0.857
pa_20_15,pfs,0.857
pa_20_15,pfsp,0.856
pa_20_15,prism,0.874
pa_20_15,rwordle,0.904
pa_20_15,scale,0.908
pa_20_15,vpsc,0.903
pa_20_16,gtree,0.881
pa_20_16,pfs,0.875
pa_20_16,pfsp,0.893
pa_20_16,prism,0.867
pa_20_16,rwordle,0.906
pa_20_16,scale,0.923
pa_20_16,vpsc,0.905
pa_20_17,gtree,0.878
pa_20_17,pfs,0.837
pa_20_17,pfsp,0.889
pa_20_17,prism,0.869
pa_20_17,rwordle,0.902
pa_20_17,scale,0.916
pa_20_17,vpsc,0.896
pa_20_18,gtree,0.881
pa_20_18,pfs,0.875
pa_20_18,pfsp,0.893
pa_20_18,prism,0.867
pa_20_18,rwordle,0.906
pa_20_18,scale,0.923
pa_20_18,vpsc,0.905
pa_20_19,gtree,0.878
pa_20_19,pfs,0.837
pa_20_19,pfsp,0.889
pa_20_19,prism,0.869
