filename,algorithm,score
pa_20_3,FTA,0.905
pa_20_3,VPSC,0.899
pa_20_3,PRISM,0.889
pa_20_3,GTREE,0.863
pa_20_3,RWordle-L,0.903
pa_20_4,initial,0.0
pa_20_4,SCALE,0.913
pa_20_4,PFS,0.87
pa_20_4,PFS',0.893
pa_20_4,FTA,0.905
pa_20_4,VPSC,0.899
pa_20_4,PRISM,0.889
pa_20_4,GTREE,0.863
pa_20_4,RWordle-L,0.903
pa_20_5,initial,0.0
pa_20_5,SCALE,0.921
pa_20_5,PFS,0.85
pa_20_5,PFS',0.879
pa_20_5,FTA,0.902
pa_20_5,VPSC,0.896
pa_20_5,PRISM,0.871
pa_20_5,GTREE,0.885
pa_20_5,RWordle-L,0.902
pa_20_6,initial,0.0
pa_20_6,SCALE,0.913
pa_20_6,PFS,0.87
pa_20_6,PFS',0.893
pa_20_6,FTA,0.905
pa_20_6,VPSC,0.899
pa_20_6,PRISM,0.889
pa_20_6,GTREE,0.863
pa_20_6,RWordle-L,0.903
pa_20_7,initial,0.0
pa_20_7,SCALE,0.923
pa_20_7,PFS,0.875
pa_20_7,PFS',0.893
pa_20_7,FTA,0.896
pa_20_7,VPSC,0.905
pa_20_7,PRISM,0.867
pa_20_7,GTREE,0.881
pa_20_7,RWordle-L,0.906
pa_20_8,initial,0.0
pa_20_8,SCALE,0.916
pa_20_8,PFS,0.837
pa_20_8,PFS',0.889
pa_20_8,FTA,0.819
pa_20_8,VPSC,0.896
pa_20_8,PRISM,0.869
pa_20_8,GTREE,0.878
pa_20_8,RWordle-L,0.902
pa_20_9,initial,0.0
pa_20_9,SCALE,0.916
pa_20_9,PFS,0.837
pa_20_9,PFS',0.889
pa_20_9,FTA,0.819
pa_20_9,VPSC,0.896
pa_20_9,PRISM,0.869
pa_20_9,GTREE,0.878
pa_20_9,RWordle-L,0.902
pa_500_8,initial,0.0
pa_500_8,SCALE,0.904
pa_500_8,PFS,0.778
pa_500_8,PFS',0.85
pa_500_8,FTA,0.743
pa_500_8,VPSC,0.712
pa_500_8,PRISM,0.827
pa_500_8,GTREE,0.84
pa_500_8,RWordle-L,0.842
pa_500_9,initial,0.0
pa_500_9,SCALE,0.904
pa_500_9,PFS,0.779
pa_500_9,PFS',0.857
pa_500_9,FTA,0.673
pa_500_9,VPSC,0.713
pa_500_9,PRISM,0.824
pa_500_9,GTREE,0.848
pa_500_9,RWordle-L,0.835
pa_50_10,initial,0.0
pa_50_10,SCALE,0.91
pa_50_10,PFS,0.801
pa_50_10,PFS',0.854
pa_50_10,FTA,0.854
pa_50_10,VPSC,0.839
pa_50_10,PRISM,0.839
pa_50_10,GTREE,0.87
pa_50_10,RWordle-L,0.887
pa_50_11,initial,0.0
pa_50_11,SCALE,0.909
pa_50_11,PFS,0.796
pa_50_11,PFS',0.873
pa_50_11,FTA,0.808
pa_50_11,VPSC,0.813
pa_50_11,PRISM,0.852
pa_50_11,GTREE,0.87
pa_50_11,RWordle-L,0.891
pa_50_12,initial,0.0
pa_50_12,SCALE,0.911
pa_50_12,PFS,0.823
pa_50_12,PFS',0.875
pa_50_12,FTA,0.795
pa_50_12,VPSC,0.844
pa_50_12,PRISM,0.881
