type;n;m;iteration;algorithm;oo_nni;sp_ch_a;gs_bb_iar;nm_dm_imse;eb_rsdd
pa;1000;4985;3;rwordle;0.21673273273273272;13.582178304400848;1.0808646725016833;20362.272852428876;1.279625
pa;1000;4985;3;scale;0;311.2959484840354;1.0637273964612095;0;0
pa;1000;4985;3;vpsc;0.02927127127127127;9.045287790258032;4.229209979209979;3614.8121048413395;0.954083
pa;1000;4985;4;gtree;0.028665665665665665;63.87779716319516;1.077419387901523;10746.765785485246;0.497451
pa;1000;4985;4;pfs;0;129.2755316030493;1.8070816746952494;9970.23614894555;0.22626
pa;1000;4985;4;pfsp;0;68.77535270296352;1.1299980146912845;8811.70038403921;0.178912
pa;1000;4985;4;prism;0.010456456456456457;33.358521764187195;1.3281035734451883;3058.1077729516533;0.39038
pa;1000;4985;4;rwordle;0.21111811811811812;12.866475790126982;1.0902539713195887;19491.032307094552;1.192546
pa;1000;4985;4;scale;0;312.80540272743866;1.0615133755553454;0;0
pa;1000;4985;4;vpsc;0.04004104104104104;8.669107732286085;5.107992678462477;4974.598719854746;0.960651
pa;1000;5979;5;gtree;0.02994794794794795;77.62726680796179;1.0583011688702746;4827.36395210969;0.965007
pa;1000;5979;5;pfs;0;135.708422419432;1.7547839288236124;6097.163043041029;0.32795
pa;1000;5979;5;pfsp;0;76.48204141081857;1.1379738770309016;3542.4695122034595;0.377793
pa;1000;5979;5;prism;0.01933033033033033;38.53100428636554;1.2573448160945748;1777.1724569948356;0.627943
pa;1000;5979;5;rwordle;0.2156046046046046;14.6266496597338;1.0930275471200739;20145.770263899663;1.55887
pa;1000;5979;5;scale;0;30765.439475147763;1.0724762827855612;1.2852825002077567e-20;0
pa;1000;5979;5;vpsc;0.04877977977977978;9.162130135728216;4.506172839506172;2183.891585101533;1.222105
pa;1000;4985;6;gtree;0.03634634634634635;63.36925579157544;1.1576304366329049;9024.321828737524;2.073702
pa;1000;4985;6;pfs;0;136.68732318960627;1.7741674707278274;9522.823049654458;0.39947
pa;1000;4985;6;pfsp;0;71.64618428425302;1.0816274236255445;6205.993832521128;0.508395
pa;1000;4985;6;prism;0.01053153153153153;33.80258142597103;1.2841642228739003;1898.6115665015927;0.841687
pa;1000;4985;6;rwordle;0.21638038038038038;13.188357387304533;1.0939144431374976;20065.225731339957;2.197271
pa;1000;4985;6;scale;0;31120.277114444456;1.0685698971387734;1.7267768841809048e-19;0
pa;1000;4985;6;vpsc;0.021882882882882884;8.41207688321881;4.4094827586206895;1836.9038718614108;1.120815
pa;1000;4985;7;gtree;0.02186086086086086;57.53773118229281;1.044136080751215;5653.736387170134;0.621769
pa;1000;4985;7;pfs;0;127.51326753162031;1.7186122448979593;10496.27608279263;0.33266
pa;1000;4985;7;pfsp;0;70.84111996092243;1.0771434820647419;6609.62232643619;0.383092
pa;1000;4985;7;prism;0.011567567567567568;32.6788078885328;1.212483745123537;3430.035587918816;0.655501
pa;1000;4985;7;rwordle;0.21381681681681683;12.739851228449353;1.1023166023166022;19529.877194565724;1.223678
pa;1000;4985;7;scale;0;31127.751367380726;1.0652622644057335;1.7311501549922522e-19;0
pa;1000;4985;7;vpsc;0.02824924924924925;8.642426549422627;4.594594594594595;2268.8759574262735;1.154804
pa;1000;5979;8;gtree;0.024756756756756756;70.63115083969768;1.0096629918579854;8146.8110525169695;0.956362
pa;1000;5979;8;pfs;0;132.61323231417356;1.8378387499578144;14589.583752096412;0.466659
pa;1000;5979;8;pfsp;0;72.00823254164703;1.1691137896770292;7304.690100035586;0.599624
pa;1000;5979;8;prism;0.02103103103103103;36.58495700618126;1.3166134670922633;3894.1616841623522;0.931346
pa;1000;5979;8;rwordle;0.2166056056056056;14.15032568253392;1.096913611633701;19859.953958994472;2.056151
pa;1000;5979;8;scale;0;30559.001336483692;1.0689648786785324;1.697551600522674e-19;0
pa;1000;5979;8;vpsc;0.024941941941941943;8.522082633760128;4.175176056338028;1134.2678656985713;1.471311
pa;1000;5979;9;gtree;0.038557557557557555;73.57935710012028;1.0665646518745218;9463.471362412585;0.75063
pa;1000;5979;9;pfs;0;131.60371721487692;1.8216573061385357;4956.542012613213;0.32776
pa;1000;5979;9;pfsp;0;72.74566853637963;1.1961148095601877;4345.683765618749;0.379607
pa;1000;5979;9;prism;0.011028028028028028;36.806399302265625;1.2611764705882353;1937.5268281466235;0.635217
pa;1000;5979;9;rwordle;0.21534034034034033;14.148908269110466;1.0795454545454546;19766.971626112525;1.254852
pa;1000;5979;9;scale;0;30541.884875849973;1.0700835837716003;1.6942126363492677e-19;0
pa;1000;5979;9;vpsc;0.044022022022022024;9.310418560790911;4.209134615384615;2156.148639524226;1.189421
pa;100;485;10;gtree;0.039191919191919194;6.759771655763018;1.0225402661064427;650.5361951091861;0.354673
pa;100;485;10;pfs;0;17.632097895630597;1.7698071098358041;2753.118558499079;0.388855
pa;100;485;10;pfsp;0;5.559168337919598;1.1504265828468792;217.04953704880353;0.300924
pa;100;485;10;prism;0.025454545454545455;4.182711647525153;1.3376496616345652;194.78019733570986;0.396692
pa;100;485;10;rwordle;0.1007070707070707;2.0392335045084993;1.086460847133228;540.5171579528253;0.634382
pa;100;485;10;scale;0;76.4985933780567;1.0675187552097805;0;0
pa;100;485;10;vpsc;0.03404040404040404;2.4881097189144894;2.244471338981186;334.96336277957784;0.506001
pa;100;579;11;gtree;0.02727272727272727;6.239821876728729;1.0624223602484473;373.8835381278723;0.366425
pa;100;579;11;pfs;0;19.77110072715893;1.6820489155514535;2799.744126978543;0.328055
pa;100;579;11;pfsp;0;5.607043405565871;1.1433566433566433;270.87755562858007;0.267576
pa;100;579;11;prism;0.026464646464646465;4.433448153303745;1.1525294788893115;307.621056774458;0.41554
pa;100;579;11;rwordle;0.10111111111111111;2.198307306296264;1.0487046632124353;607.243708648922;0.688601
pa;100;579;11;scale;0;33.8272484573399;1.0655801825293352;1.4667592179834432e-19;0
pa;100;579;11;vpsc;0.03222222222222222;2.6198216491145967;2.2758620689655173;473.2381108567878;0.538631
pa;100;390;12;gtree;0.029191919191919193;6.036428761732962;1.065500637303498;285.0046491184211;0.281834
